Temp_ID,Al2O3,B2O3,BaO,CaO,K2O,Li2O,MgO,Na2O,P2O5,SiO2,SnO2,SrO,TiO2,ZnO,ZrO2,value
2186,7.650000132,0,0,10.14000039,0,0,17.68000039,0,0,64.52999909,0,0,0,0,0,0.24
2188,5.090000153,0,0,0,4.960000038,0,13.84000015,6.039999962,0,64.56999969,0,5.5,0,0,0,0.24
2189,10.40103952,4.480447978,0,8.900889537,0,0,10.83108282,1.010100981,0,64.37643916,0,0,0,0,0,0.24
2190,4.989999638,0,0.049999999,4.929999697,5.039999827,0,4.329999808,5.969999631,0,64.48000163,0,10.20999977,0,0,0,0.24
2191,12.42248426,4.390877932,1.060211959,5.261052307,0,0,5.231046097,0,0,67.95359145,0.090018005,3.570713986,0,0,0.020004,0.24
2192,10.39896007,4.479552214,0,8.899110005,0,0,10.83891662,1.009899034,0,64.37356205,0,0,0,0,0,0.24
2193,14.94891948,0,0,0.009999277,4.999638685,0,0,5.1196299,0,59.22571941,0,0,0,15.68886577,0,0.24
2194,7.644628141,10.51652916,0,15.45454538,5.103305806,0,0,5.154958403,0,56.06404964,0,0,0,0,0,0.24
2195,14.71782296,0,0,15.29773709,4.989261675,0,0.119982248,5.089247265,0,59.67117274,0,0.006507038,0,0.008283775,0,0.24
2196,10.10915315,10.44912483,0.008374299,0,5.039577964,0,15.49870219,4.999581352,0,53.79549458,0,0,0,0,0,0.24
2197,25.00999994,0,0,0,0,14.18000014,0,0.1,0,60.60999991,0,0,0,0,0,0.24
2198,7.790000122,9.649999816,0,0,5.060000047,0,15.4399999,5.040000065,0,54.62000005,0,0,0,0,2.299999999,0.24
2199,10.80000022,10.96000007,0,15.88000016,5.079999937,0,0.119999998,5.079999937,0,51.97999968,0,0,0,0,0,0.24
2200,8.390000226,0,0,5.110000062,0,0,22.72999923,0.090000002,0,63.56000049,0,0,0,0,0,0.24
2201,9.890000373,0,0,10.02999976,10.00000003,0,0,9.829999954,0,60.06999987,0,0,0,0,0,0.24
2202,7.589547361,0,0,14.77911801,0,0,4.229747673,10.08939822,0,63.11623343,0,0.005966644,0,0,0,0.24
2204,0,0,0,0,0,0,0,0,49.88999977,0,0,0,0,49.91000023,0,0.24
2205,0,9.889011149,1.279871946,0,4.279572126,0,0,10.74892479,0,73.68263199,0,0,0,0,0,0.224214667
2206,12.63012662,8.640086888,0,5.480054911,0,0,8.07008053,0,0,65.17065096,0.00900009,0,0,0,0,0.239
